"n","m","Power","Speed","Spotsize","Peclet","HannDensity","HannDensity100%","HannThreshold","Keyhole?","FabbroRatio","DThreshold","DThreshold100"
56,2,200,0.5,100,0.6136363636363636,17.58159420116154,43.95398550290385,39.02323458100961,"False",0.45054169368413916,-21.44164037984807,4.930750921894237
57,1,800,1.9000000000000001,160,3.7309090909090905,17.825694981604983,44.564237454012456,55.944998777859375,"False",0.3186289278937232,-38.11930379625439,-11.380761323846919
57,2,450,0.6,160,1.1781818181818182,17.84309439519734,44.60773598799335,42.48079628964832,"False",0.4200273053625723,-24.637701894450977,2.1269396983450335
58,1,750,1.6,160,3.1418181818181816,18.21103195856162,45.52757989640405,53.20432167120262,"False",0.3422848254903799,-34.993289712641,-7.676741774798572
58,2,500,1.7000000000000002,120,2.503636363636364,18.133721145721918,45.334302864304796,50.01927741788022,"False",0.3625346482762209,-31.8855562721583,-4.684974553575422
59,1,850,2.,160,3.927272727272727,18.460234447893434,46.15058611973359,56.82189333233145,"False",0.3248789043322784,-38.361658884438015,-10.67130721259786
59,2,550,2.,120,2.9454545454545453,18.390311310704885,45.97577827676221,52.25024628859281,"False",0.35196602154045414,-33.85993497788793,-6.274468011830599
60,1,700,1.3000000000000003,160,2.552727272727273,18.85643760163903,47.141094004097575,50.27330207271168,"False",0.37507855709112636,-31.41686447107265,-3.132208068614105
60,2,800,1.7000000000000002,160,3.338181818181818,18.845115812805883,47.11278953201471,54.13731872947669,"False",0.34809843293079634,-35.2922029166708,-7.02452919746198
61,1,350,1.3000000000000003,100,1.5954545454545457,19.08137324096708,47.7034331024177,45.00218696510556,"False",0.4240099099131042,-25.92081372413848,2.7012461373121397
61,2,250,1.3000000000000003,80,1.2763636363636366,19.04787842448565,47.61969606121412,43.085298507864344,"False",0.44209693524599464,-24.037420083378695,4.534397553349777
62,1,450,1.2000000000000002,120,1.7672727272727276,19.42510075579907,48.56275188949767,46.000709010476044,"False",0.42227829034929143,-26.575608254676975,2.562042879021625
62,2,550,1.8000000000000003,120,2.650909090909091,19.385090207127977,48.46272551781994,50.77660055534698,"False",0.3817721154057575,-31.391510348219004,-2.3138750375270405
63,1,500,0.9,140,1.5463636363636362,19.77743448483365,49.44358621208412,44.712479569960806,"False",0.44232470833759635,-24.935045085127157,4.731106642123315
63,2,700,1.2000000000000002,160,2.3563636363636364,19.62640251319334,49.06600628298335,49.247398022386534,"False",0.3985266897607811,-29.620995509193193,-0.18139173940318187
64,1,900,1.9000000000000001,160,3.7309090909090905,20.05390685430561,50.13476713576402,55.944998777859375,"False",0.3584575438804386,-35.891091923553766,-5.810231642095353
64,2,750,2.,140,3.436363636363636,19.900659567886457,49.751648919716146,54.59630940630103,"False",0.3645055825987699,-34.695649838414575,-4.8446604865848855
65,1,750,1.3000000000000003,160,2.552727272727273,20.203326001756103,50.508315004390255,50.27330207271168,"False",0.4018698825976354,-30.069976070955576,0.2350129316785754
65,2,550,0.7000000000000001,160,1.3745454545454547,20.190494418371024,50.476236045927564,43.68337859418765,"False",0.46220084316137344,-23.492884175816627,6.792857451739913
66,1,550,1.6,120,2.3563636363636364,20.560993109059687,51.40248277264922,49.247398022386534,"False",0.4175041511779612,-28.686404913326847,2.155084750262688
66,2,700,1.1,160,2.1599999999999997,20.499108866038277,51.2477721650957,48.194387320885205,"False",0.425342244306422,-27.695278454846928,3.053384844210491
67,1,150,0.2,100,0.24545454545454543,20.849205964679644,52.12301491169911,37.99569849043974,"False",0.5487254292726216,-17.1464925257601,14.127316421259366
67,2,450,1.8000000000000003,100,2.2090909090909094,20.84920596467964,52.1230149116991,48.460271171641345,"False",0.4302329611576848,-27.611065206961705,3.6627437400577563
68,1,550,1.5000000000000002,120,2.2090909090909094,21.23530237143297,53.08825592858242,48.460271171641345,"False",0.4382002382161605,-27.224968800208377,4.627984756941075
68,2,900,1.7000000000000002,160,3.338181818181818,21.20075528940662,53.001888223516545,54.13731872947669,"False",0.3916107370471459,-32.936563440070074,-1.1354305059601444
69,1,500,1.2000000000000002,120,1.7672727272727276,21.583445284221185,53.95861321055296,46.000709010476044,"False",0.46919810038810167,-24.41726372625486,7.957904200076918
69,2,700,1.,160,1.9636363636363634,21.499646758304152,53.74911689576038,47.11264645410643,"False",0.4563455542504385,-25.61299969580228,6.636470441653948
70,1,1000,2.,160,3.927272727272727,21.717922879874628,54.29480719968657,56.82189333233145,"False",0.3822104756850334,-35.10397045245682,-2.5270861326448752
70,2,800,1.9000000000000001,140,3.264545454545454,21.778822302792317,54.447055756980795,53.789832935527414,"False",0.4048873386332405,-32.01101063273509,0.6572228214533808
71,1,600,0.7000000000000001,160,1.3745454545454547,22.025993910950206,55.064984777375514,43.68337859418765,"False",0.5042191016305891,-21.657384683237446,11.381606183187863
71,2,450,1.6,100,1.9636363636363634,22.11392237996998,55.28480594992495,47.11264645410643,"False",0.46938399865759384,-24.99872407413645,8.17215949581852
72,1,1000,1.9000000000000001,160,3.7309090909090905,22.282118727006228,55.705296817515574,55.944998777859375,"False",0.39828615986715404,-33.66288005085315,-0.2397019603438011
72,2,800,1.8000000000000003,140,3.0927272727272728,22.37561286191767,55.93903215479418,52.96783030640668,"False",0.4224377840753512,-30.592217444489012,2.9712018483874942
73,1,400,0.7000000000000001,120,1.030909090909091,22.607490690944285,56.518726727360715,41.564992749519945,"False",0.5439070043192873,-18.95750205857566,14.95373397784077
73,2,200,0.30000000000000004,100,0.3681818181818182,22.697740513625174,56.74435128406294,37.94169973190929,"True",0.5982267709144348,-15.243959218284115,18.802651552153648
74,1,700,1.3000000000000003,140,2.233636363636364,23.038148258094555,57.595370645236386,48.5925473268085,"False",0.4741086756195722,-25.554399068713945,9.002823318427886
74,2,850,1.3000000000000003,160,2.552727272727273,22.89710280199025,57.24275700497563,50.27330207271168,"False",0.45545253361065346,-27.37619927072143,6.96945493226395
75,1,350,1.7000000000000002,80,1.669090909090909,23.31964107109153,58.299102677728825,45.433072300428584,"False",0.5132745792952144,-22.113431229337053,12.866030377300241
75,2,900,1.4000000000000001,160,2.7490909090909095,23.36209448520974,58.40523621302435,51.27372964220305,"False",0.45563477921802203,-27.91163515699331,7.131506570821301
76,1,500,1.,120,1.4727272727272727,23.64347970169289,59.10869925423222,44.274279082622265,"False",0.5340229178564537,-20.630799380929375,14.834420171609956
76,2,1000,1.7000000000000002,160,3.338181818181818,23.55639476600735,58.890986915018374,54.13731872947669,"False",0.4351230411634954,-30.58092396346934,4.7536681855416845
77,1,700,1.2000000000000002,140,2.061818181818182,23.97886495976768,59.9471623994192,47.657206065522594,"False",0.5031529739028299,-23.678341105754914,12.289956333896605
77,2,900,2.,140,3.436363636363636,23.880791481463746,59.701978703659364,54.59630940630103,"False",0.4374066991185239,-30.715517924837286,5.105669297358332
78,1,250,0.8,80,0.7854545454545454,24.281375944748827,60.70343986187207,40.03937856266528,"True",0.6064373828066856,-15.75800261791645,20.664061299206793
78,2,350,0.8,100,0.9818181818181817,24.324073625459583,60.81018406364896,41.25841885118509,"True",0.5895541880359991,-16.934345225725508,19.55176521246387
79,1,850,1.7000000000000002,140,2.920909090909091,24.463335415410697,61.15833853852674,52.12943809565215,"False",0.46928062739757526,-27.66610268024145,9.028900442874594
79,2,900,1.9000000000000001,140,3.264545454545454,24.50117509064136,61.252937726603406,53.789832935527414,"False",0.45549825596239557,-29.288657844886053,7.463104791075992
80,1,500,0.9,120,1.3254545454545454,24.92241588976932,62.3060397244233,43.38519821062152,"True",0.5744451314657784,-18.4627823208522,18.920841513801783
80,2,850,1.1,160,2.1599999999999997,24.89177505161791,62.229437629044774,48.194387320885205,"False",0.5164870109435125,-23.302612269267296,14.035050308159569
81,1,950,2.,140,3.436363636363636,25.207502119322843,63.018755298307106,54.59630940630103,"False",0.4617070712917752,-29.38880728697819,8.422445892006074
81,2,900,1.8000000000000003,140,3.0927272727272728,25.17256446965738,62.93141117414345,52.96783030640668,"False",0.4752425070847701,-27.7952658367493,9.963580867736766
